city_id,city,province,region,degurba,mean_residents,mean_area_km2,collisions,fatalities,injuries,years_recorded,injury_rate,fatality_rate,per_capita_accidents_rate,collision_density,resident_density,injury_rate_log,fatality_rate_log,per_capita_accidents_rate_log,collision_density_log,injury_rate_pct,fatality_rate_pct,per_capita_accidents_rate_pct,collision_density_pct,severity_subscore,frequency_subscore,risk_score_equal,risk_score_frequency_heavy,risk_score_severity_heavy
72046,Triggiano,BA,Puglia,2,25910.0,20.1384,172.0,2.0,243.0,4,1.4127906976744187,0.011627906976744186,16.59590891547665,8.540896992809756,1286.5967504866323,0.8807840434172453,0.011560822401075985,2.867666427039605,2.2555875054437164,0.5406907502977372,0.28622469233822945,0.2294561333862644,0.8122270742358079,0.38801111552203255,0.5208416038110362,0.45442635966653433,0.48099245732433504,0.4278602620087336
72047,Turi,BA,Puglia,2,12969.75,71.3995,169.0,8.0,260.0,4,1.5384615384615385,0.047337278106508875,32.57580138398967,2.3669633540851125,181.65043172571237,0.9315582040049435,0.04625101765075567,3.513805610597713,1.2140112562721026,0.7860262008733624,0.832870186581977,0.7939658594680429,0.43072647876141323,0.8141325922985312,0.6123461691147281,0.7132393807066296,0.6728820960698689,0.7535966653433902
72048,Valenzano,BA,Puglia,2,17309.5,15.9787,106.0,3.0,158.0,4,1.490566037735849,0.02830188679245283,15.309512117623271,6.633831287902019,1083.2858743201887,0.912510009034249,0.027908788117076557,2.7917485031029465,2.032589853987397,0.7064311234616911,0.6242556570067487,0.1687177451369591,0.7558554982135768,0.6571258435887257,0.46228662167526796,0.5597062326319968,0.5207383882493053,0.5986740770146883
73001,Avetrana,TA,Puglia,2,6235.25,74.1708,44.0,2.0,67.0,4,1.5227272727272727,0.045454545454545456,17.641634256846157,0.5932253663166637,84.0661014846813,0.925340567394073,0.04445176257083384,2.9253974801377476,0.46576049381338214,0.7667725287812625,0.8197697499007542,0.27074235807860264,0.07741167129813419,0.7985708614529575,0.17407701468836842,0.486323938070663,0.3614251687177451,0.6112227074235808
73003,Castellaneta,TA,Puglia,2,16140.75,242.389,155.0,6.0,256.0,4,1.6516129032258065,0.03870967741935484,24.007558508743397,0.639467962655071,66.59027431112797,0.975168097576988,0.037979248065216374,3.2191781195223035,0.4943717761876206,0.9035331480746328,0.7663755458515283,0.5462485113140135,0.0889241762604208,0.8212385867407701,0.3175863437872172,0.5694124652639936,0.468682016673283,0.6701429138547043
73004,Crispiano,TA,Puglia,2,13086.25,112.3006,64.0,1.0,99.0,4,1.546875,0.015625,12.226573693762537,0.5698990032110247,116.5287629807855,0.9348671174470905,0.015504186535965254,2.582227964522436,0.4510112881260548,0.7949583167923779,0.36780468439857084,0.06351726875744343,0.07145692735212386,0.5386661373560937,0.06748709805478365,0.3030766177054387,0.20884080984517667,0.3973124255657007
73007,Ginosa,TA,Puglia,2,21808.5,188.5984,154.0,6.0,274.0,4,1.7792207792207793,0.03896103896103896,17.653667148130317,0.8165498752905646,115.63459711217062,1.0221705931681677,0.03822121282019776,2.9260427566872527,0.5969390291095457,0.9650655021834061,0.7679634775704645,0.27153632393807065,0.13576816196903532,0.8468042874156412,0.203652242953553,0.5252282651845971,0.3965978562921795,0.6538586740770147
73008,Grottaglie,TA,Puglia,2,30537.75,102.1223,274.0,3.0,441.0,4,1.6094890510948905,0.010948905109489052,22.431253121136955,2.6830574712868787,299.0311616561711,0.9591544363059374,0.010889399799268276,3.1540707347061074,1.3037432418176604,0.8650258038904327,0.27113934100833664,0.48431917427550614,0.4732036522429536,0.5086939261611751,0.47876141325922983,0.4937276697102025,0.4877411671298134,0.49971417229059156
73009,Laterza,TA,Puglia,2,14791.0,161.1732,127.0,14.0,222.0,4,1.7480314960629921,0.11023622047244094,21.46575620309648,0.7879721938883139,91.77084031340198,1.0108848357438358,0.104572803919577,3.1119922033442617,0.5810821251137933,0.9539499801508535,0.9805478364430329,0.4370782056371576,0.129813418023025,0.9699086939261612,0.2834458118300913,0.6266772528781263,0.48938467645891226,0.7639698292973401
73010,Leporano,TA,Puglia,2,8209.5,15.3299,75.0,1.0,111.0,4,1.48,0.013333333333333334,22.839393385711677,4.892399819959686,535.5220842927873,0.9082585601768908,0.01324522675002064,3.171339396643199,1.7736633544039797,0.6824136562127828,0.3179833267169512,0.5041683207622072,0.6633584755855498,0.4637554585152839,0.5837633981738786,0.5237594283445812,0.5477610162763001,0.4997578404128622
